cell_id	coords
41	[[5494, 234], [5494, 234], [5493, 233], [5490, 233], [5489, 232], [5486, 232], [5485, 233], [5484, 231], [5491, 230], [5492, 231], [5494, 231], [5494, 234]]
42	[[5494, 240], [5494, 240], [5493, 239], [5487, 238], [5485, 239], [5483, 242], [5482, 242], [5482, 238], [5483, 237], [5483, 239], [5484, 239], [5484, 235], [5486, 233], [5490, 233], [5491, 234], [5493, 234], [5494, 236], [5494, 240]]
43	[[5494, 245], [5494, 245], [5491, 243], [5485, 243], [5484, 244], [5482, 243], [5485, 239], [5489, 238], [5490, 239], [5493, 239], [5494, 241], [5494, 245]]
44	[[877, 245], [881, 242], [885, 242], [886, 241], [890, 242], [890, 243], [888, 242], [887, 243], [881, 243], [878, 245], [877, 245]]
45	[[878, 263], [876, 262], [878, 261], [875, 259], [875, 258], [878, 256], [878, 255], [876, 254], [876, 248], [877, 246], [881, 243], [887, 243], [888, 242], [891, 243], [891, 246], [890, 247], [890, 249], [891, 249], [891, 248], [893, 247], [894, 251], [890, 252], [895, 252], [895, 255], [894, 256], [890, 257], [894, 259], [893, 259], [892, 261], [890, 262], [888, 261], [887, 264], [885, 264], [887, 260], [887, 258], [881, 262], [883, 263], [883, 264], [878, 263]]
46	[[5494, 249], [5493, 249], [5492, 248], [5485, 248], [5484, 247], [5483, 251], [5482, 251], [5482, 248], [5483, 247], [5483, 245], [5485, 243], [5491, 243], [5493, 244], [5494, 246], [5494, 249]]
47	[[5494, 260], [5492, 259], [5485, 259], [5484, 258], [5483, 261], [5482, 261], [5482, 252], [5483, 251], [5483, 254], [5484, 254], [5485, 248], [5492, 248], [5494, 250], [5494, 260]]
48	[[5692, 299], [5691, 298], [5687, 297], [5683, 293], [5682, 290], [5678, 287], [5678, 278], [5679, 276], [5683, 273], [5682, 272], [5683, 271], [5682, 270], [5682, 265], [5684, 263], [5685, 264], [5687, 261], [5689, 261], [5690, 260], [5694, 260], [5697, 258], [5700, 258], [5701, 257], [5706, 257], [5709, 262], [5710, 266], [5711, 267], [5711, 277], [5710, 278], [5710, 281], [5711, 282], [5709, 283], [5710, 284], [5710, 287], [5709, 288], [5708, 292], [5706, 294], [5705, 294], [5703, 296], [5702, 295], [5697, 299], [5692, 299]]
49	[[1206, 307], [1200, 307], [1192, 303], [1187, 299], [1187, 298], [1183, 293], [1182, 289], [1181, 288], [1182, 287], [1181, 286], [1181, 279], [1183, 276], [1183, 274], [1185, 270], [1187, 269], [1187, 268], [1193, 263], [1199, 262], [1200, 261], [1204, 261], [1205, 262], [1211, 263], [1216, 267], [1217, 267], [1222, 274], [1222, 277], [1224, 280], [1224, 289], [1222, 291], [1220, 296], [1218, 298], [1216, 302], [1214, 304], [1210, 306], [1207, 306], [1206, 307]]
50	[[5494, 264], [5491, 264], [5490, 263], [5486, 263], [5485, 264], [5484, 263], [5486, 261], [5489, 261], [5490, 262], [5493, 262], [5494, 264]]
51	[[5494, 267], [5492, 267], [5491, 266], [5486, 266], [5485, 267], [5484, 265], [5486, 263], [5490, 263], [5491, 264], [5494, 264], [5494, 267]]
52	[[5949, 315], [5938, 315], [5934, 313], [5931, 311], [5928, 305], [5928, 303], [5926, 299], [5926, 296], [5925, 295], [5925, 292], [5924, 291], [5924, 283], [5925, 282], [5925, 277], [5926, 275], [5929, 272], [5930, 270], [5942, 264], [5950, 264], [5952, 265], [5956, 270], [5960, 277], [5961, 283], [5963, 287], [5963, 298], [5962, 299], [5962, 302], [5959, 308], [5955, 312], [5949, 315]]
53	[[5494, 272], [5493, 272], [5492, 271], [5485, 271], [5484, 268], [5486, 266], [5491, 266], [5492, 267], [5494, 267], [5494, 270], [5493, 271], [5494, 272]]
54	[[7433, 299], [7431, 299], [7430, 300], [7423, 300], [7422, 299], [7420, 299], [7418, 297], [7410, 293], [7406, 290], [7406, 289], [7404, 287], [7403, 281], [7404, 280], [7404, 276], [7405, 274], [7410, 269], [7411, 269], [7413, 267], [7416, 267], [7417, 266], [7421, 266], [7422, 267], [7428, 267], [7429, 268], [7431, 268], [7437, 275], [7439, 279], [7439, 281], [7440, 282], [7440, 287], [7439, 288], [7438, 294], [7433, 299]]
