Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
483	5473.079095828537	1555.4773294185636	['Rgs4']	[0.0025552956446877424]	['class_28', 'class_113', 'Zero']	[0.004991209819610546, 0.010060514379694983, 0.9847959970063982]
484	6423.999661922567	1571.4311563025249	['Car4', 'Cck', 'Ccn2', 'Cdh13', 'Col25a1', 'Cpne2', 'Cpne7', 'Cxcl14', 'Ddit4l', 'Nrn1', 'Ntng1', 'Pcp4', 'Pde1a', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Snca', 'Sst', 'Thsd7a', 'Trp53i11']	[2.997883496494225, 0.7610706462081775, 0.027298708602193078, 0.9993060550267084, 0.002736146438017122, 0.03815528713736334, 2.9370551027321317, 0.9900688728972896, 0.7538233161880185, 1.3401548614066974, 1.877036727995368, 2.0840285119494255, 0.9999806494091786, 4.918095351733989, 0.9999063318270324, 0.041762548063978396, 0.02071663614321288, 1.9973416990958064, 0.7591326471176445, 0.9969759072883165, 0.005480277364598073]	['class_94']	[0.9999424771800519]
485	6455.626346999903	1577.9732969763327	['Car4', 'Ccn2', 'Col25a1', 'Cpne7', 'Gabrd', 'Id2', 'Nrn1', 'Ntng1', 'Pcp4', 'Pthlh', 'Rgs4', 'Sema5a', 'Serpini1', 'Slc6a1', 'Snca', 'Thsd7a']	[0.0014194330207274682, 0.9722943279581567, 0.9971737270991099, 0.058461082235857005, 1.0093497470133013, 1.1677487162357616, 0.9999627949542361, 1.938370129229569, 6.190926558485778, 2.2831215651595964, 2.009052587988735, 1.9405798549853168, 0.9998151464437672, 1.108609685594621, 0.8435894437002562, 0.0012486751795185067]	['class_75']	[0.9994085079431493]
486	162.3485598959844	1578.911496922973	['Cort', 'Cpne7', 'Cryab', 'Enpp2', 'Ntng1', 'Plp1', 'Pthlh', 'Rab3c', 'Serpine2', 'Sst', 'Tac2', 'Thsd7a', 'Tnfaip6']	[0.9995937480595993, 0.9789765400214291, 4.035895396816421, 1.0000354371719509, 0.7211447137890803, 4.4851709452579325, 0.9465563231231691, 0.9769857088027897, 0.8098457263465718, 0.7419013862613113, 0.977242604840612, 0.0030747157927855646, 0.9999090924263638]	['class_28', 'class_80']	[0.9322131464841127, 0.06757844150512429]
487	5505.785759627821	1564.679707097668	[]	[]	['class_28', 'class_113', 'Zero']	[0.01686410904415259, 0.022152867587896197, 0.9592120492650403]
488	5487.894593224997	1566.7824317513823	['Car4', 'Nos1', 'Nrn1', 'Ntng1', 'Plp1', 'Rgs4', 'Serpini1', 'Thsd7a']	[0.2385109697718088, 0.9818251864024222, 0.9993931585556102, 0.9998704590442453, 0.9979136819195017, 0.8757472258545812, 0.999954032484682, 0.9999506043397682]	['class_9', 'class_71', 'class_75', 'class_94', 'class_103']	[0.005737602958006953, 0.007695359824756416, 0.9296475084804521, 0.0026393721657242027, 0.05251523944180934]
489	1035.857139108797	1593.4561265734646	['Cdh13', 'Enpp2', 'Id2', 'Lgals1', 'Ntng1', 'Nxph1', 'Pcp4', 'Penk', 'Plp1', 'Pthlh', 'Pvalb', 'Rab3c', 'Rgs4', 'Serpini1', 'Slc6a1', 'Thsd7a', 'Tshz2', 'Zbtb20']	[0.2510173048216471, 0.9998231080887593, 5.047239579319577, 0.8018143386862878, 0.9998752841532116, 1.133497439513405, 1.9178582847900825, 1.003842873553393, 0.9999597388913476, 4.004897588368442, 0.9997709685166799, 0.9986628441266615, 1.224084474721886, 2.083071277143464, 0.0188366398411147, 0.052872493472101004, 0.95821763579298, 0.999968997806743]	['class_103']	[0.9995484568767568]
490	5492.037298846592	1570.6620379231092	[]	[]	['class_28', 'class_113', 'Zero']	[0.003572233988444312, 0.007964523200603894, 0.9883875410618059]
491	341.30085522234884	1608.1970880234092	['Car4', 'Crispld2', 'Ddit4l', 'Gabrd', 'Gnb4', 'Pcp4', 'Pde1a', 'Prkca', 'Prss23', 'Pthlh', 'Rab3c', 'Rgs12', 'Serpine2', 'Sst', 'Tac2', 'Zbtb20']	[2.810382643149329, 0.9997910685609894, 1.9989390701089333, 0.9823715942229765, 0.9999591358747429, 1.91587498684595, 1.485393663201932, 0.943972218524218, 0.886029958434488, 0.9999135636274178, 3.330410566478376, 1.7336337492742806, 0.972796804056156, 0.0013738532496222525, 0.9226625196415134, 1.9999579427544651]	['class_9']	[0.9999999892242809]
492	1654.6830579870527	1583.1968218687234	['Cadps2', 'Car4', 'Cck', 'Cdh13', 'Col25a1', 'Cort', 'Cox6a2', 'Cpne7', 'Gabrd', 'Grik1', 'Id2', 'Kctd12', 'Lamp5', 'Lgals1', 'Nek7', 'Neurod6', 'Nptx2', 'Npy', 'Nrn1', 'Ntng1', 'Pcp4', 'Prkca', 'Pvalb', 'Rab3c', 'Rgs4', 'Sema5a', 'Serpine2', 'Tshz2', 'Wfs1', 'Yjefn3']	[3.6153828410058195, 4.278734708840859, 5.077246344851159, 1.9533896565491091, 0.9000023571018804, 1.9752814696483045, 0.9897145233062324, 10.900807177603864, 9.525572155580939, 3.984063924858337, 2.9138392128643718, 0.8440314536854997, 0.12565613663372027, 0.9232023383127628, 0.9978863888710539, 0.4275898060629074, 5.733188993859043, 0.009169976370072884, 3.441731051585897, 9.14648914628164, 8.780830052109714, 0.8665411166162464, 0.03847097690697744, 0.03219470827520326, 10.246779848264547, 4.8948947363922946, 1.6427421767048929, 2.727745932828843, 0.21457479751781078, 0.994723920364517]	['class_72']	[0.9999982456945571]
493	5470.3992686873635	1578.9828219024764	[]	[]	['class_28', 'class_113', 'Zero']	[0.005121565367177424, 0.010262162212743326, 0.984456975537384]
494	5470.340601711524	1579.007964470084	[]	[]	['class_28', 'class_113', 'Zero']	[0.010382347907248934, 0.016413464241699725, 0.9725358498396425]
495	1548.8096016916636	1619.728085346269	['Aldoc', 'Cort', 'Cpne2', 'Cryab', 'Cxcl14', 'Hsd11b1', 'Id2', 'Pcp4', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Sst', 'Synpr', 'Zbtb20']	[1.1053055982107178, 0.9999331467454131, 1.0015396597017718, 0.9982856087177502, 7.256118037441638, 5.47299806108569, 1.9391482694477569, 1.0169719841408678, 0.8154235009692412, 0.8490710153380759, 5.9615060710547105, 9.72437126586053, 0.19999615957760442, 0.7164792610133629, 1.9999359824915555]	['class_103']	[0.9999999992053985]
496	5480.340600291269	1595.0079643939384	['Thsd7a']	[0.015226450276886523]	['class_28', 'class_113', 'Zero']	[0.008746102508114197, 0.015244224599179415, 0.9755684072416925]
497	5480.340600295076	1595.0079643943418	['Thsd7a']	[0.019233618503753352]	['class_28', 'class_113', 'Zero']	[0.006051899236577667, 0.012026806517217338, 0.9817162481083372]
498	5483.069519248413	1595.7492052948849	['Thsd7a']	[0.01066735738504556]	['class_28', 'class_113', 'Zero']	[0.0059889489889064194, 0.011666722262783402, 0.9821351868559036]
499	5507.1402931463235	1607.6022587701193	['Rgs4']	[0.002890175309614436]	['class_28', 'class_113', 'Zero']	[0.015652838959324705, 0.021125489496039568, 0.9616737089414601]
